dataset,dim,random_state,method,metric1,metric2,bcmo_metric1,bcmo_metric2,metric1_difference,metric2_difference
exp5,4,82,R=4,57.52578353881836,65.85075378417969,57.23188636944394,65.2368901996019,0.2938971693744179,0.6138635845777856
exp5,4,82,R=64,57.51425552368164,65.84174346923828,57.23188636944394,65.2368901996019,0.28236915423769915,0.6048532696363793
exp5,4,82,Spline-ETO,57.70661544799805,66.0331802368164,57.23188636944394,65.2368901996019,0.4747290785541054,0.7962900372145043
exp5,4,82,Spline-QFR,57.74517440795898,66.73455047607422,57.23188636944394,65.2368901996019,0.5132880385150358,1.4976602764723168
exp5,4,82,lambda=0.1,57.45790863037109,66.30635833740234,57.23188636944394,65.2368901996019,0.22602226092714517,1.0694681378004418
exp5,4,82,lambda=0.3,57.47731399536133,65.90604400634766,57.23188636944394,65.2368901996019,0.24542762591738665,0.6691538067457543
exp5,4,82,lambda=0.5,57.51580429077148,65.84015655517578,57.23188636944394,65.2368901996019,0.2839179213275358,0.6032663555738793
exp5,4,82,lambda=0.7,57.50394058227539,65.81976318359375,57.23188636944394,65.2368901996019,0.27205421283144915,0.5828729839918481
exp5,4,82,lambda=0.9,57.6195182800293,65.9744873046875,57.23188636944394,65.2368901996019,0.3876319105853554,0.7375971050855981
exp5,4,87,ERM,323.38249596898936,230.08446886342955,323.34321530547004,185.18818755439335,0.039280663519321024,44.8962813090362
exp5,4,87,ERM-NN,324.01551448219317,231.135488904582,323.34321530547004,185.18818755439335,0.6722991767231292,45.94730135018864
exp5,4,87,LightGBM,323.5726998327626,230.90814441854872,323.34321530547004,185.18818755439335,0.22948452729258406,45.719956864155364
exp5,4,87,M=128,324.5289611816406,186.0059967041016,323.34321530547004,185.18818755439335,1.1857458761705857,0.8178091497082391
exp5,4,87,M=2048,324.5557861328125,185.9364166259766,323.34321530547004,185.18818755439335,1.2125708273424607,0.7482290715832391
exp5,4,87,M=32,324.5369873046875,186.1615142822266,323.34321530547004,185.18818755439335,1.1937719992174607,0.9733267278332391
exp5,4,87,M=512,324.5467834472656,185.9160461425781,323.34321530547004,185.18818755439335,1.2035681417955857,0.7278585881847448
exp5,4,87,M=8,324.5072631835938,186.7836761474609,323.34321530547004,185.18818755439335,1.1640478781237675,1.5954885930675573
exp5,4,87,R=1,324.5217895507812,185.9966888427734,323.34321530547004,185.18818755439335,1.1785742453111538,0.8085012883800573
exp5,4,87,R=16,324.5289611816406,186.0059967041016,323.34321530547004,185.18818755439335,1.1857458761705857,0.8178091497082391
exp5,4,87,R=256,324.6872863769531,185.8333129882812,323.34321530547004,185.18818755439335,1.3440710714830857,0.6451254338878414
exp5,4,87,R=4,324.6680908203125,185.813232421875,323.34321530547004,185.18818755439335,1.3248755148424607,0.6250448674816482
exp5,4,87,R=64,324.6891174316406,185.8155517578125,323.34321530547004,185.18818755439335,1.3459021261705857,0.6273642034191482
exp5,4,87,Spline-ETO,325.2708129882812,185.9337310791016,323.34321530547004,185.18818755439335,1.9275976828111538,0.7455435247082391
exp5,4,87,Spline-QFR,330.4437866210938,191.0256195068359,323.34321530547004,185.18818755439335,7.1005713156237675,5.837431952442557
exp5,4,87,lambda=0.1,324.2506713867188,189.2250061035156,323.34321530547004,185.18818755439335,0.9074560812487675,4.036818549122245
exp5,4,87,lambda=0.3,324.3467102050781,186.1745452880859,323.34321530547004,185.18818755439335,1.0034948996080857,0.9863577336925573
exp5,4,87,lambda=0.5,324.5289611816406,186.0059967041016,323.34321530547004,185.18818755439335,1.1857458761705857,0.8178091497082391
exp5,4,87,lambda=0.7,325.0262145996094,185.8353576660156,323.34321530547004,185.18818755439335,1.6829992941393357,0.6471701116222448
exp5,4,87,lambda=0.9,325.8363037109375,186.0118103027344,323.34321530547004,185.18818755439335,2.4930884054674607,0.8236227483410516
exp5,4,95,ERM,74.06914437832127,354.3029341855203,74.06419320956442,286.68868257011246,0.004951168756846869,67.61425161540785
exp5,4,95,ERM-NN,75.26854213395833,357.88439760324155,74.06419320956442,286.68868257011246,1.204348924393912,71.19571503312909
exp5,4,95,LightGBM,74.15294835426768,352.6549868196657,74.06419320956442,286.68868257011246,0.0887551447032564,65.96630424955322
exp5,4,95,M=128,75.48216247558594,289.5493774414062,74.06419320956442,286.68868257011246,1.4179692660215153,2.860694871293731
exp5,4,95,M=2048,75.42347717285156,289.3630981445312,74.06419320956442,286.68868257011246,1.3592839632871403,2.674415574418731
exp5,4,95,M=32,75.28195190429688,289.3285522460938,74.06419320956442,286.68868257011246,1.2177586947324528,2.6398696759813447
exp5,4,95,M=512,75.43461608886719,289.6471862792969,74.06419320956442,286.68868257011246,1.3704228793027653,2.958503709184413
exp5,4,95,M=8,75.19287109375,288.8880615234375,74.06419320956442,286.68868257011246,1.1286778841855778,2.199378953325038
exp5,4,95,R=1,75.40628051757812,289.4838256835938,74.06419320956442,286.68868257011246,1.3420873080137028,2.7951431134813447
exp5,4,95,R=16,75.48216247558594,289.5493774414062,74.06419320956442,286.68868257011246,1.4179692660215153,2.860694871293731
exp5,4,95,R=256,75.41901397705078,289.633544921875,74.06419320956442,286.68868257011246,1.354820767486359,2.944862351762538
exp5,4,95,R=4,75.4852066040039,289.5107727050781,74.06419320956442,286.68868257011246,1.421013394439484,2.822090134965663
exp5,4,95,R=64,75.406494140625,289.4525756835938,74.06419320956442,286.68868257011246,1.3423009310605778,2.7638931134813447
exp5,4,95,Spline-ETO,74.64073181152344,289.5552978515625,74.06419320956442,286.68868257011246,0.5765386019590153,2.866615281450038
exp5,4,95,Spline-QFR,75.62967681884766,293.5680847167969,74.06419320956442,286.68868257011246,1.565483609283234,6.879402146684413
exp5,4,95,lambda=0.1,75.13111877441406,316.3634948730469,74.06419320956442,286.68868257011246,1.0669255648496403,29.674812302934413
exp5,4,95,lambda=0.3,75.48245239257812,297.8152160644531,74.06419320956442,286.68868257011246,1.4182591830137028,11.126533494340663
exp5,4,95,lambda=0.5,75.48216247558594,289.5493774414062,74.06419320956442,286.68868257011246,1.4179692660215153,2.860694871293731
exp5,4,95,lambda=0.7,75.08979797363281,289.3093566894531,74.06419320956442,286.68868257011246,1.0256047640683903,2.620674119340663
exp5,4,95,lambda=0.9,74.9504165649414,289.2066345214844,74.06419320956442,286.68868257011246,0.886223355376984,2.517951951371913
exp5,9,4,ERM,287.5889026674987,499.5934344290886,287.3083852296984,381.9364486044747,0.280517437800313,117.65698582461386
exp5,9,4,ERM-NN,288.53734603533985,502.4223934850841,287.3083852296984,381.9364486044747,1.2289608056414636,120.4859448806094
exp5,9,4,LightGBM,288.97746389893683,503.6634226637676,287.3083852296984,381.9364486044747,1.669078669238445,121.7269740592929
exp5,9,4,M=128,293.1789855957031,392.4060668945312,287.3083852296984,381.9364486044747,5.870600366004737,10.469618290056474
exp5,9,4,M=2048,293.4274291992188,392.1766662597656,287.3083852296984,381.9364486044747,6.119043969520419,10.240217655290905
exp5,9,4,M=32,293.0025024414062,392.8454284667969,287.3083852296984,381.9364486044747,5.694117211707805,10.908979862322155
exp5,9,4,M=512,293.4168395996094,392.9169311523438,287.3083852296984,381.9364486044747,6.108454369910987,10.980482547869087
exp5,9,4,M=8,292.3652648925781,409.4266357421875,287.3083852296984,381.9364486044747,5.056879662879737,27.49018713771278
exp5,9,4,R=1,292.6052856445312,389.5783081054688,287.3083852296984,381.9364486044747,5.296900414832805,7.641859500994087
exp5,9,4,R=16,293.1789855957031,392.4060668945312,287.3083852296984,381.9364486044747,5.870600366004737,10.469618290056474
exp5,9,4,R=256,292.1455688476562,388.8283081054688,287.3083852296984,381.9364486044747,4.837183617957805,6.891859500994087
exp5,9,4,R=4,292.760498046875,390.9803161621094,287.3083852296984,381.9364486044747,5.452112817176612,9.043867557634655
